2024-07-05 09:28:01 客户端（192.168.19.128）已连接。
2024-07-05 09:28:01 192.168.19.128 login ok.
2024-07-05 11:21:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705112100_13089.xml(125584) ...ok.
2024-07-05 11:22:16 recv /myproject/myserver/surfdata/SURF_ZH_20240705112200_13150.xml(125513) ...ok.
2024-07-05 11:23:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112300_13216.xml(125574) ...ok.
2024-07-05 11:24:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112400_13277.xml(125581) ...ok.
2024-07-05 11:25:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112500_13339.xml(125575) ...ok.
2024-07-05 11:26:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112600_13402.xml(125619) ...ok.
2024-07-05 11:27:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112700_13463.xml(125601) ...ok.
2024-07-05 11:28:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112800_13547.xml(125591) ...ok.
2024-07-05 11:29:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705112900_13609.xml(125583) ...ok.
2024-07-05 11:30:17 recv /myproject/myserver/surfdata/SURF_ZH_20240705113000_13675.xml(125594) ...ok.
2024-07-05 11:31:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113100_13737.xml(125570) ...ok.
2024-07-05 11:32:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113200_13799.xml(125576) ...ok.
2024-07-05 11:33:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113300_13863.xml(125512) ...ok.
2024-07-05 11:34:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113400_13925.xml(125627) ...ok.
2024-07-05 11:35:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113500_13987.xml(125565) ...ok.
2024-07-05 11:36:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113600_14048.xml(125555) ...ok.
2024-07-05 11:37:18 recv /myproject/myserver/surfdata/SURF_ZH_20240705113700_14109.xml(125614) ...ok.
2024-07-05 11:38:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705113800_14174.xml(125561) ...ok.
2024-07-05 11:39:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705113900_14299.xml(125599) ...ok.
2024-07-05 11:40:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705114000_14365.xml(125559) ...ok.
2024-07-05 11:41:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705114100_14427.xml(125554) ...ok.
